Proteome Id	Organism Id
UP000193633	1077464
UP000193958	1077464
UP000218665	1077464
UP000249828	1077675
UP000234530	1077935
UP000185924	1077936
UP000294114	1077942
UP001139384	1077944
UP000271554	1077946
UP000183002	1077947
UP000003828	1077972
UP000035034	1077974
UP000606196	1078
UP000004915	1078020
UP000298618	1078021
UP000323189	1078034
UP000294614	1078050
UP000001806	107806
UP000014407	1078083
UP000014412	1078085
UP000014410	1078086
UP000033081	1078087
UP000017815	1078089
UP000253872	1078480
UP000196239	1078905
UP000065734	1079
UP000320948	1079
UP000319824	1079460
UP000199306	1079859
UP000235464	1079985
UP000070810	1079994
UP000182690	1079994
UP000189462	108003
UP000051380	108015
UP000183174	108015
UP000322726	1080223
UP000292372	1080224
UP000237640	1080225
UP000094936	1080227
UP001056323	108080
UP001138751	1081025
UP000286716	1081091
UP000031523	1081613
UP000054510	1081644
UP000016600	1081904
UP000182983	1082
UP000295008	1082276
UP000549617	1082345
UP000199415	1082479
UP000245880	1082580
UP000194020	1082703
UP000263881	1082704
UP000196138	1082851
UP000239425	1082868
UP000008850	1082931
UP000002949	1082933
UP000267469	1084421
UP000285278	108486
UP000248301	108528
UP000218287	1085406
UP000012153	1085540
UP000012220	1085541
UP000009282	1085623
UP000503320	1085644
UP000502004	1085647
UP000005566	1086011
UP000186141	1086013
UP000296678	1086030
UP000187320	108619
UP000839682	108619
UP000839704	108619
UP000839726	108619
UP000839730	108619
UP000839738	108619
UP000839827	108619
UP000839885	108619
UP000295741	1086393
UP000242800	1086726
UP000778970	1087
UP000011770	1088540
UP000012118	1088542
UP000004030	1088721
UP000005939	1088868
UP000004949	1088869
UP000182459	1088883
UP000184522	1089305
UP000005845	1089453
UP000004367	1089455
UP000000467	1089553
UP000263596	108980
UP000595320	108980
UP001164064	108980
UP001164081	108980
UP000503505	108981
UP000552519	108981
UP000019483	1090322
UP000198741	1090615
UP000008315	1091494
UP000053937	1092
UP000018149	109232
UP000321378	109328
UP000422644	109328
UP000279908	1094
UP000327458	1094
UP001107961	1094342
UP000007599	1094466
UP000011729	1094489
UP000014038	1094491
UP000014026	1094492
UP000014242	1094496
UP000014011	1094502
UP000006178	1094508
UP000008761	1094551
UP000008748	1094552
UP000008941	1094555
UP000001077	1094556
UP000009017	1094557
UP000008952	1094558
UP000002648	1094560
UP000002304	1094562
UP000008947	1094563
UP000002646	1094564
UP000294841	109472
UP000002643	1094755
UP000003208	1094979
UP000315071	1095
UP000317986	1095
UP000318690	1095
UP000319601	1095
UP000319641	1095
UP000320098	1095
UP000737006	1095
UP000783593	1095
UP000015753	1095383
UP000003237	1095726
UP000006010	1095727
UP000003245	1095729
UP000005070	1095730
UP000003357	1095733
UP000005505	1095736
UP000004548	1095741
UP000003345	1095743
UP000004111	1095745
UP000004473	1095748
UP000006457	1095749
UP000005039	1095750
UP000004421	1095752
UP000198882	1095776
UP000551878	1095777
UP000198848	1095778
UP000019756	1095955
UP000288361	1096243
UP000248057	1096246
UP000295325	1096341
UP000297624	109663
UP000321436	1096750
UP000219042	1096779
UP000066228	1096856
UP000194474	1096929
UP000015527	1096930
UP000005143	1097667
UP000012170	1097677
UP000327236	109790
UP000309544	1098
UP001156666	1099794
UP000262954	1099853
UP000076481	1100
UP000250493	1100699
UP000251446	1100704
UP000229817	1100706
UP000228506	1100707
UP000231052	1100711
UP000250792	1100718
UP000244295	1100720
UP000251804	1100724
UP000250666	1100725
UP000250797	1100726
UP000243479	1100822
UP000199486	1100824
UP000199270	1100828
UP000022668	1101195
UP000091969	1101373
UP000316388	1101373
UP000248840	1101402
UP001055732	110163
UP000886335	1102
UP000015971	110319
UP000507954	110321
UP000439983	110322
UP000005867	1104324
UP000275571	1104446
UP000054705	110500
UP000007269	1105030
UP000004073	1105031
UP000006989	1105032
UP000595446	110505
UP000007592	1105109
UP000007589	1105110
UP000008005	1105111
UP000007999	1105112
UP000008006	1105113
UP000008008	1105114
UP000555407	1105143
UP000552097	1105145
UP000241151	1105204
UP000479786	1105204
UP000028824	1105367
UP000430146	110539
UP000030149	1107311
UP000004038	1107881
UP000003250	1107882
UP000005038	1108044
UP000008363	1108045
UP000182871	1108140
UP000588186	110845
UP000178776	1108595
UP000193866	1108812
UP000003657	1108963
UP001142372	110933
UP000189735	110935
UP000044377	1109412
UP000285972	1109412
UP000198384	1109740
UP000065220	111015
UP000005258	1110502
UP000003181	1110504
UP000004840	1110505
UP000005877	1110509
UP000238877	1110546
UP000300381	1110546
UP000303581	1110546
UP000017048	1110697
UP000030130	111105
UP000030146	111105
UP000185911	1111071
UP000017093	1111130
UP000017087	1111133
UP000017105	1111134
UP000016652	1111135
UP000004399	1111137
UP000017090	1111454
UP000009135	1111676
UP000001425	1111708
UP000217758	1111760
UP000078263	1112
UP000009154	1112204
UP000014841	1112246
UP000321556	1113587
UP000033280	1113728
UP000095208	1113929
UP000011599	1114856
UP001152749	1114861
UP000180252	1114873
UP000199377	1114924
UP000005940	1114943
UP000005064	1114960
UP000052268	1114963
UP000015524	1114964
UP000002865	1114965
UP000033662	1114970
UP000051999	1114972
UP000672233	1115510
UP000010297	1115512
UP000029462	1115515
UP000243930	1115568
UP000198946	1115570
UP000596184	1115757
UP000245622	1115758
UP000007814	1115803
UP000016648	1115809
UP000016663	1115816
UP000006799	1116375
UP000095463	1116389
UP000007523	1116391
UP000017842	1116472
UP000813215	1117104
UP000015344	1117108
UP000016505	1117313
UP000016503	1117319
UP000006316	1117379
UP000189738	1117645
UP000254876	1117645
UP001189000	1117645
UP000000466	1117647
UP000672009	111769
UP000058012	1117702
UP000184600	1117707
UP000284531	1117708
UP000010473	111780
UP000010389	111781
UP000028594	1117941
UP000007735	1117943
UP000288287	1117987
UP000256661	111806
UP000004512	1118153
UP000184335	1118202
UP000593605	1118202
UP000516369	111831
